2026-04-01 03:36:54;2026-04-01 10:36:54;Wait Part
2026-04-01 03:39:00;2026-04-01 10:39:00;Runtime
2026-04-01 03:39:22;2026-04-01 10:39:22;Pick NG
2026-04-01 03:39:26;2026-04-01 10:39:26;Runtime
2026-04-01 03:39:49;2026-04-01 10:39:49;Runtime
2026-04-01 03:46:52;2026-04-01 10:46:52;Pick NG
2026-04-01 03:47:03;2026-04-01 10:47:03;Runtime
2026-04-01 04:01:46;2026-04-01 11:01:46;Pick NG
2026-04-01 04:02:10;2026-04-01 11:02:10;Runtime
2026-04-01 04:02:16;2026-04-01 11:02:16;Pick NG
2026-04-01 04:02:19;2026-04-01 11:02:19;Runtime
2026-04-01 04:03:15;2026-04-01 11:03:15;Pick NG
2026-04-01 04:04:11;2026-04-01 11:04:11;Runtime
2026-04-01 04:04:17;2026-04-01 11:04:17;Pick NG
2026-04-01 04:04:24;2026-04-01 11:04:24;Runtime
2026-04-01 04:09:12;2026-04-01 11:09:12;Runtime
2026-04-01 04:13:01;2026-04-01 11:13:01;Runtime
2026-04-01 04:27:26;2026-04-01 11:27:26;Pick NG
2026-04-01 04:27:40;2026-04-01 11:27:40;Runtime
2026-04-01 04:36:16;2026-04-01 11:36:16;Runtime
2026-04-01 04:38:03;2026-04-01 11:38:03;Runtime
2026-04-01 04:42:11;2026-04-01 11:42:11;Pick NG
2026-04-01 04:45:31;2026-04-01 11:45:31;Runtime
