2026-04-07 03:21:39.053;2026-04-07 10:21:39.053;C3GW;1;847;0;OK;OK;2.80;1775532099053
2026-04-07 03:21:39.153;2026-04-07 10:21:39.153;C3GW;2;847;0;OK;OK;2.80;1775532099053
2026-04-07 03:21:39.253;2026-04-07 10:21:39.253;C3GW;3;847;0;OK;OK;2.80;1775532099053
2026-04-07 03:21:39.353;2026-04-07 10:21:39.353;C3GW;4;847;0;OK;OK;2.80;1775532099053
2026-04-07 03:21:39.453;2026-04-07 10:21:39.453;C3GW;5;847;0;OK;OK;2.80;1775532099053
2026-04-07 03:21:39.553;2026-04-07 10:21:39.553;C3GW;6;847;0;OK;OK;2.80;1775532099053
2026-04-07 03:21:39.653;2026-04-07 10:21:39.653;C3GW;7;847;0;OK;OK;2.80;1775532099053
2026-04-07 03:21:39.753;2026-04-07 10:21:39.753;C3GW;8;847;0;OK;OK;2.80;1775532099053
2026-04-07 03:21:39.853;2026-04-07 10:21:39.853;C3GW;9;847;0;OK;OK;2.80;1775532099053
2026-04-07 03:21:39.953;2026-04-07 10:21:39.953;C3GW;10;847;0;OK;OK;2.80;1775532099053
2026-04-07 03:21:40.053;2026-04-07 10:21:40.053;C3GW;11;847;0;OK;OK;2.80;1775532099053
2026-04-07 03:21:40.153;2026-04-07 10:21:40.153;C3GW;12;847;0;OK;OK;2.80;1775532099053
2026-04-07 03:21:40.253;2026-04-07 10:21:40.253;C3GW;13;847;0;OK;OK;2.80;1775532099053
2026-04-07 03:21:40.353;2026-04-07 10:21:40.353;C3GW;14;847;0;OK;OK;2.80;1775532099053
2026-04-07 03:21:40.453;2026-04-07 10:21:40.453;C3GW;15;847;0;OK;OK;2.80;1775532099053
2026-04-07 03:21:40.553;2026-04-07 10:21:40.553;C3GW;16;847;0;OK;OK;2.80;1775532099053
2026-04-07 03:21:40.653;2026-04-07 10:21:40.653;C3GW;17;847;0;OK;OK;2.80;1775532099053
2026-04-07 03:21:40.753;2026-04-07 10:21:40.753;C3GW;18;847;0;OK;OK;2.80;1775532099053
2026-04-07 03:21:40.853;2026-04-07 10:21:40.853;C3GW;19;847;0;OK;OK;2.80;1775532099053
2026-04-07 03:21:40.953;2026-04-07 10:21:40.953;C3GW;20;847;0;OK;OK;2.80;1775532099053
2026-04-07 03:21:41.053;2026-04-07 10:21:41.053;C3GW;21;847;0;OK;OK;2.80;1775532099053
2026-04-07 03:21:41.153;2026-04-07 10:21:41.153;C3GW;22;847;0;OK;OK;2.80;1775532099053
2026-04-07 03:21:41.253;2026-04-07 10:21:41.253;C3GW;23;847;0;OK;OK;2.80;1775532099053
2026-04-07 03:21:41.353;2026-04-07 10:21:41.353;C3GW;24;847;0;OK;OK;2.80;1775532099053
2026-04-07 03:21:41.453;2026-04-07 10:21:41.453;C3GW;25;847;0;OK;OK;2.80;1775532099053
